titulo,preco,disponivel,nota,upc,categoria
The Requiem Red,"22,65",19,1,f77dbf2323deb740,Young Adult
Set Me Free,"17,46",19,5,ce6396b0f23f6ecc,Young Adult
The Natural History of Us (The Fine Art of Pretending #2),"45,22",16,3,cedf82b5086e4691,Young Adult
Obsidian (Lux #1),"14,86",16,2,3c346ab1e76ae1f6,Young Adult
Burning,"28,81",16,3,5ceb951f629700a2,Young Adult
A Fierce and Subtle Poison,"28,13",16,4,842790dfaa937484,Young Adult
Scarlett Epstein Hates It Here,"43,55",15,5,1c929cfd16b71907,Young Adult
"Nightingale, Sing","38,28",15,1,50b8f80311b31ede,Young Adult
Library of Souls (Miss Peregrine’s Peculiar Children #3),"48,56",15,5,ba54932df84e8cea,Young Adult
Frostbite (Vampire Academy #2),"29,99",15,5,116a2fdc9a45bab0,Young Adult
Wild Swans,"14,36",14,2,3fb15ace50d6142b,Young Adult
Until Friday Night (The Field Party #1),"46,31",14,2,aba2db9afb1469c7,Young Adult
This Is Where It Ends,"27,12",14,2,f0f38174a7e689a3,Young Adult
The Darkest Lie,"35,35",14,5,6edacfd1f8ebb9eb,Young Adult
My Kind of Crazy,"40,36",14,1,137b0b2775701e11,Young Adult
Don't Get Caught,"55,35",14,1,ad2887ce04583910,Young Adult
Catching Jordan (Hundred Oaks),"50,83",14,3,e2e7b683b4c15b7d,Young Adult
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),"58,14",14,4,41164b8ac02a2c42,Young Adult
The Epidemic (The Program 0.6),"14,44",12,5,f732d7d18a91d2ba,Young Adult
Stars Above (The Lunar Chronicles #4.5),"48,05",12,2,b63ea3f7a57ae099,Young Adult
No Love Allowed (Dodge Cove #1),"54,65",12,4,db84624b151cbe06,Young Adult
"Exit, Pursued by a Bear","51,34",11,4,c65c25d990fc7025,Young Adult
The Alien Club,"54,40",9,1,e77594ece9b9d1fe,Young Adult
Don't Forget Steven,"33,23",9,1,e845d305f64154f1,Young Adult
South of Sunshine,"28,93",8,1,331c26103d885cae,Young Adult
My Life Next Door (My Life Next Door ),"36,39",8,5,9a7291b89bd5445c,Young Adult
Future Shock (Future Shock #1),"55,65",8,5,df6a7c43faa6732b,Young Adult
Nightstruck: A Novel,"50,35",7,4,746029796363aa51,Young Adult
Tell the Wolves I'm Home,"50,96",6,2,2a1b3d967cda1da2,Young Adult
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)","47,31",5,4,e75f3ae1da1cc652,Young Adult
Where She Went (If I Stay #2),"41,73",5,4,60369d96b7b80869,Young Adult
Two Summers,"14,64",5,1,3a7d54a264d9f33e,Young Adult
The Darkest Corners,"11,33",5,5,c4182bdb53e2459a,Young Adult
Tell Me Three Things,"41,81",5,1,50d5a7b861ed1c54,Young Adult
Lola and the Boy Next Door (Anna and the French Kiss #2),"23,63",5,4,5e1a88d248599768,Young Adult
Kill the Boy Band,"15,52",5,5,44f545727e704187,Young Adult
Isla and the Happily Ever After (Anna and the French Kiss #3),"48,13",5,5,45045146dbf7b009,Young Adult
An Abundance of Katherines,"10,00",5,5,f36d24c309e87e5b,Young Adult
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),"24,17",4,4,eff24325e0ede639,Young Adult
Walk the Edge (Thunder Road #2),"32,36",3,3,0e4e2d31c2fb3aad,Young Adult
Two Boys Kissing,"32,74",3,2,61bc8167c9680283,Young Adult
The New Guy (and Other Senior Year Distractions),"44,92",3,3,3e42ac0f4d43320f,Young Adult
"The Land of 10,000 Madonnas","29,64",3,4,35e69a79d2b1e804,Young Adult
